id,name,category,description,keywords,url
1,Futurepedia,Aggregators,"Business AI Models","directory, search, AI tools",https://www.futurepedia.io
2,Insidr.ai,Aggregators,"Curated list of AI tools with up-to-date rankings and filters.","curated, list, filters, rankings",https://www.insidr.ai
3,"There’s An AI For That",Aggregators,"Massive searchable index of AI tools by task.","searchable, index, task-based",https://theresanaiforthat.com
4,TopAI.tools,Aggregators,"List of trending AI tools by user voting and reviews.","trending, voting, reviews",https://topai.tools
5,"AI Scout",Aggregators,"Community-based directory of helpful AI tools.","community, helpful, discovery",https://aiscout.ai
6,Descript,"Audio & Voice","Audio & video editor with text-based control and transcription.","audio editing, video editing, transcription",https://www.descript.com
7,"Murf AI","Audio & Voice","Lifelike voice generator for text-to-speech audio.","voice generator, text-to-speech",https://www.murf.ai
8,Deepgram,"Audio & Voice","Real-time speech recognition platform with high accuracy.","speech recognition, real-time",https://www.deepgram.com
9,Sonix,"Audio & Voice","AI-powered transcription for audio & video.","transcription, audio, video",https://sonix.ai
10,Otter.ai,"Audio & Voice","Automatic real-time meeting transcriber with summaries.","meeting, transcription, summaries",https://otter.ai
11,"GitHub Copilot","Code Generation","AI coding assistant for autocompletion and suggestions.","code, autocomplete, assistant",https://github.com/features/copilot
12,Tabnine,"Code Generation","AI code completion in multiple IDEs.","code completion, IDE",https://www.tabnine.com
13,AskCodi,"Code Generation","Code generation, SQL builder, and comment assistant.","code, SQL, comments",https://www.askcodi.com
14,"Cody AI","Code Generation","AI assistant for writing, editing, and refactoring code.","code, refactor, edit",https://meetcody.ai
15,"Claude (code review)","Code Generation","Conversational model good for logic, debugging, and refactoring.","debugging, refactoring, Claude",https://claude.ai
16,MidJourney,"Generative Art","Text-to-image AI that creates stunning digital artwork.","art, text-to-image, MidJourney",https://www.midjourney.com
17,"DALL·E 2","Generative Art","Create images from natural language descriptions.","text-to-image, DALL-E, creative",https://openai.com/dall-e-2
18,Leonardo.ai,"Generative Art","Generate creative visual assets and concepts via AI.","visual assets, creative, Leonardo",https://leonardo.ai
19,Artbreeder,"Generative Art","Blend and evolve images using AI.","image blending, evolution",https://www.artbreeder.com
39,RunwayML,"Generative Video","Generative video editor for real-time creation.",NULL,https://runwayml.com
40,Pictory,"Generative Video","Generate videos from scripts or articles.",NULL,https://pictory.ai
41,Synthesia,"Generative Video","Turn text into AI video with avatars.",NULL,https://www.synthesia.io
42,"DeepBrain AI","Generative Video","Turn scripts into talking AI avatars.",NULL,https://www.deepbrain.io
43,Rephrase.ai,"Generative Video","Personalize videos using AI avatars.",NULL,https://www.rephrase.ai
44,Remove.bg,"Image Improvement","Remove backgrounds from images instantly.",NULL,https://www.remove.bg
45,Cleanup.pictures,"Image Improvement","Erase objects and clean up images using AI.",NULL,https://cleanup.pictures
46,"Let’s Enhance","Image Improvement","Upscale and fix image quality without losing detail.",NULL,https://letsenhance.io
47,VanceAI,"Image Improvement","AI-powered background removal, enhancement, and colorization.",NULL,https://vanceai.com
48,"Upscale Media","Image Improvement","Enhance resolution and sharpen photos with AI.",NULL,https://upscale.media
49,"Jasper AI",Marketing,"AI content assistant for marketing, SEO, and ad copy.",NULL,https://www.jasper.ai
50,Copy.ai,Marketing,"Write email, blog, and social media content using AI.",NULL,https://www.copy.ai
51,Writesonic,Marketing,"AI writing platform for SEO-optimized content.",NULL,https://writesonic.com
52,Anyword,Marketing,"AI content generator optimized for conversions.",NULL,https://anyword.com
53,Copysmith,Marketing,"AI-powered platform for large-scale content marketing teams.",NULL,https://copysmith.ai
54,Mem,Productivity,"AI-powered note-taking that remembers context.",NULL,https://mem.ai
55,Supernormal,Productivity,"Automatically generates meeting notes with summaries.",NULL,https://supernormal.com
56,"Taskade AI",Productivity,"AI assistant for task lists, planning, and notes.",NULL,https://www.taskade.com
57,Fireflies.ai,Productivity,"AI meeting assistant to record, transcribe, and summarize.",NULL,https://fireflies.ai
58,Elicit,Research,"AI research assistant for summarizing academic papers.",NULL,https://elicit.org
59,Consensus,Research,"Search academic research with AI summarization.",NULL,https://consensus.app
60,Scite,Research,"AI tool to analyze how scientific papers cite each other.",NULL,https://scite.ai
61,ResearchRabbit,Research,"Discover papers and researchers via AI-powered graphs.",NULL,https://www.researchrabbit.ai
62,"Semantic Scholar",Research,"AI-enhanced research database for fast exploration.",NULL,https://www.semanticscholar.org
63,TTSMaker,Text-to-Speech,"Realistic voice synthesis using text input.",NULL,https://ttsmaker.com
64,Play.ht,Text-to-Speech,"AI-powered TTS with hundreds of voices and styles.",NULL,https://play.ht
65,ElevenLabs,Text-to-Speech,"Ultra-realistic voice cloning and narration.",NULL,https://www.elevenlabs.io
66,Lovo.ai,Text-to-Speech,"Generate audio narration using AI voices.",NULL,https://lovo.ai
67,DeepL,Translation,"One of the most accurate AI-powered translators.",NULL,https://www.deepl.com
68,"Google Translate",Translation,"AI-backed language translation across 100+ languages.",NULL,https://translate.google.com
69,Papago,Translation,"AI language translator by Naver for Asian languages.",NULL,https://papago.naver.com
70,"Translate Me",Translation,"Offline and secure AI translation tool.",NULL,https://www.translate-me.ai
71,LanguageTool,Translation,"Multilingual grammar and translation assistant.",NULL,https://www.languagetool.org
72,Riverside.fm,Podcasting,"Record podcasts and interviews with local AI backup.",NULL,https://riverside.fm
73,Podcastle,Podcasting,"AI podcast recording and editing suite.",NULL,https://podcastle.ai
74,"Cleanvoice AI",Podcasting,"Remove filler words and noise from audio with AI.",NULL,https://cleanvoice.ai
75,Alitu,Podcasting,"Podcast maker that automates editing and publishing.",NULL,https://alitu.com
76,Veed.io,"Video Editing","Online video editing platform with AI enhancements.",NULL,https://www.veed.io
77,Kapwing,"Video Editing","Video editing with auto subtitles, templates, and more.",NULL,https://www.kapwing.com
89,Wix,"Website Builder","AI-powered drag-and-drop website builder for personal",NULL," and portfolio websites."
90,"Framer AI","Website Builder","Instantly create modern",NULL,"ai website, create site, build site, responsive website, landing page, no-code, generate page, make a website, framer, website builder, design site, instant website"
91,Durable,"Website Builder","One-click AI website builder designed for entrepreneurs",NULL," and small businesses."
92,Beautiful.ai,"Presentation Making","Smart presentation tool that designs slides automatically.","presentation, smart slides, templates",https://www.beautiful.ai
93,Tome,"Presentation Making","Narrative presentation builder with AI assistance.","storytelling, presentations, AI slides",https://tome.app
94,Simplified,Marketing,"AI-powered platform for content creation, video, design, and social media marketing.","content, marketing, video, copy",https://simplified.com
96,Rezi,"Resume Builder","AI resume builder that tailors resumes to job descriptions.","resume, job match, ATS",https://www.rezi.ai
97,Kickresume,"Resume Builder","Resume and cover letter builder with AI assistance and templates.","resume, cover letter, templates",https://www.kickresume.com
98,StudyMonkey,"Study Guider","AI study assistant that helps with notes, summaries, and quizzes.","study, summaries, flashcards",https://www.studymonkey.ai
99,Socratic,"Study Guider","Google AI app that helps students learn using text and voice-based Q&A.","homework help, math, science",https://socratic.org
100,Lalaland.ai,"Fashion Advisor","AI-generated fashion models for virtual clothing try-ons.","fashion, virtual models, ecommerce",https://www.lalaland.ai
101,Fashable,"Fashion Advisor","AI-based clothing design and fashion trend analysis.","design, fashion trends, styling",https://fashable.com
102,Cleo,"Financial Assistant","AI budgeting app that gives financial advice with humor.","budget, finance, chatbot",https://web.meetcleo.com
103,Wallet.ai,"Financial Assistant","AI assistant that learns spending habits to give money advice.","finance, spending, savings",https://wallet.ai
104,Codeium,"Code Generator","AI-powered coding assistant for autocompleting and generating code.","autocomplete, coding, devtools",https://www.codeium.com
106,"Runway ML","Video Enhancer","AI video editing tool for background removal and scene generation.","video, editor, background",https://runwayml.com
108,Looka,"Logo Maker","AI-powered logo and brand kit creator.","logo, branding, design",https://looka.com
109,Brandmark,"Logo Maker","Create logos and visual assets with AI.","branding, logo, icons",https://brandmark.io
